"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000176770586361247,20,227,3.36479966435914,"GO:0140993 Histone modifying activity ","https://amigo.geneontology.org/amigo/term/GO:0140993"," KDM1A  KMT2A  HDAC6  SETD1A  PRMT5  KAT2A  KDM5B  PRMT1  PRMT7  SUV39H2  KMT2D  KDM4D  JADE2  VRK1  ATF2  MSL2  TAF9  HDAC7  AURKA  MINDY2"
0.00103273553993855,33,565,2.23059418457649,"GO:0003712 Transcription coregulator activity ","https://amigo.geneontology.org/amigo/term/GO:0003712"," TLE4  SMARCD2  GON4L  ENY2  TLE3  TOB1  YY1AP1  ATF7IP2  KMT2D  FHL3  MED12  MRTFB  NOC2L  N4BP2L2  TAF9  KDM1A  KAT2A  KDM5B  JAZF1  RBPMS  NRG1  TRRAP  ZMYND11  HDAC7  MED15  UBE3A  SFMBT1  NUP98  TACC1  PRMT5  PSMD9  BMAL1  USP21"
0.00103273553993855,38,693,2.09413866556724,"GO:0003682 Chromatin binding ","https://amigo.geneontology.org/amigo/term/GO:0003682"," SMARCD2  KDM1A  CRAMP1  TOX4  WAC  MACROH2A2  PHC1  ENY2  SMARCAD1  SFMBT1  PRIMPOL  RAD21L1  GLI2  TOP2B  VRK1  NFAT5  DNAJC2  KAT2A  GLI1  STAT1  ATF2  DHX30  APTX  NOC2L  BRD2  HDAC7  ADNP  TLE4  KMT2A  MEIS1  PKNOX1  WRN  MSL2  MED12  KDM4D  TRRAP  NUP98  FMR1"
4.55835867204074e-05,60,1151,1.99081543999007,"GO:0030674 Protein-macromolecule adaptor activity ","https://amigo.geneontology.org/amigo/term/GO:0030674"," FMR1  GNB1  TLE4  SMARCD2  GON4L  ENY2  STX16  TLE3  TOB1  ANK2  YY1AP1  ATF7IP2  AP1G1  KMT2D  FHL3  MED12  YTHDF3  MRTFB  NOC2L  N4BP2L2  TAF9  KDM1A  FBXW11  NBN  CARD8  DNAJC2  CDK5RAP3  KAT2A  NUP98  NFE2L2  KDM5B  DAB2IP  WWC2  SUV39H2  JAZF1  RBPMS  NRG1  DCAF13  NOLC1  ANKRD13D  TRRAP  DDX3X  ZMYND11  HDAC7  MED15  GRB10  UBE3A  KRAS  SFMBT1  RGS14  SHARPIN  NCSTN  HAX1  TACC1  PRMT5  PSMD9  BMAL1  USP21  COL11A1  DEDD2"
5.29365746820822e-05,66,1326,1.9008834302952,"GO:0060090 Molecular adaptor activity ","https://amigo.geneontology.org/amigo/term/GO:0060090"," MAP2K4  FMR1  BAG6  GNB1  TLE4  SMARCD2  GON4L  ENY2  STX16  TLE3  TOB1  ANK2  WWC2  YY1AP1  ATF7IP2  AP1G1  KMT2D  FHL3  MED12  YTHDF3  MRTFB  NOC2L  N4BP2L2  TAF9  KDM1A  FBXW11  NBN  CARD8  DNAJC2  CDK5RAP3  KAT2A  NUP98  NFE2L2  KDM5B  ISCU  DAB2IP  SUV39H2  JAZF1  RBPMS  NRG1  DCAF13  NOLC1  ANKRD13D  TRRAP  DDX3X  ZMYND11  LETMD1  HDAC7  MED15  GRB10  UBE3A  KRAS  SFMBT1  RGS14  MSL2  SHARPIN  WWP2  NCSTN  HAX1  TACC1  PRMT5  PSMD9  BMAL1  USP21  COL11A1  DEDD2"
0.0010778072458487,50,1024,1.8647693452381,"GO:0016772 Transferase activity transferring phosphorus-containing groups ","https://amigo.geneontology.org/amigo/term/GO:0016772"," AURKA  PAK1  PANK1  DCAKD  GMPPB  MTOR  CDK11A  MAP2K4  CDK13  TGFBR3  RPS6KA2  TUT7  ITPKC  POLRMT  VRK1  CDK16  CSK  CLK4  NEK4  ACVR1  STK25  POLN  MAP3K12  IGF1R  ULK3  PRPSAP2  CAMK2G  SAMD8  BRAF  HIPK1  PRIMPOL  TK2  UGP2  NME6  DPAGT1  SPHK1  CHEK2  NRBP2  PCYT2  TPK1  CDC42BPB  GK  BRD2  ERBB3  PALLD  ADCK2  PHKG2  HGS  TRRAP  C8orf44-SGK3"
0.000224446572744481,70,1525,1.75300546448087,"GO:0044877 Protein-containing complex binding ","https://amigo.geneontology.org/amigo/term/GO:0044877"," SMARCD2  FBXW11  ICAM1  MACROH2A2  FERMT1  DNAJC2  IFT56  SPARC  PLS1  GNAI1  GPNMB  EFL1  ANK2  GSN  ABLIM2  ADAM9  RAD23A  WIZ  NSF  FBLN1  GNB1  HDAC6  VRK1  SRP54  ACVR1  PMS2  MACF1  ARPC1B  TBC1D5  KRAS  DAB2IP  NUMA1  WRAP53  HSPD1  NRG1  NAA15  WRN  NAA16  C1QTNF1  DCTN2  YTHDF3  NOC2L  BAG6  DDX3X  CPS1  HSPA5  LETMD1  CASP8  TGFBR3  TOP2B  PAFAH1B3  PRMT5  PRMT1  DBNL  CDK5RAP2  IGF1R  MFGE8  BRAF  AP1G1  KRT8  PPP1CA  SHARPIN  P4HB  MTOR  ITCH  FMR1  PRMT7  PAK1  VPS33B  CDC42BPB"
5.08156648749703e-06,116,2592,1.7091416813639,"GO:0016740 Transferase activity ","https://amigo.geneontology.org/amigo/term/GO:0016740"," ITCH  AURKA  PRMT5  KMT2A  PRMT1  UHRF2  PAK1  PANK1  DCAKD  GMPPB  PELI1  MIB2  MTOR  NFS1  CDK11A  POMT2  ABHD5  ZDHHC6  PIGV  MAP2K4  CDK13  TGFBR3  RNF126  NDST1  RPS6KA2  PAFAH1B3  TUT7  POMGNT1  ITPKC  DTX2  SETD1A  POLRMT  PPIL2  GSTZ1  VRK1  TAFAZZIN  CDK16  PORCN  CSK  ATE1  KAT2A  TRIM2  CLK4  UBE3A  NEK4  ACVR1  STK25  MTR  PDZRN3  RBBP6  COLGALT1  POLN  PRMT7  THUMPD3  MAP3K12  IGF1R  ULK3  PRPSAP2  CAMK2G  EXT2  SUV39H2  SAMD8  BRAF  HIPK1  PRIMPOL  GALNT10  TK2  KMT2D  UGP2  RNF34  NME6  DPAGT1  MSL2  SPHK1  SHARPIN  CHEK2  NRBP2  PCYT2  TPK1  WWP2  CDC42BPB  GK  DZIP3  HMBS  TYMP  JADE2  TRAF3IP2  TRMT2A  GGT5  ATF2  GTDC1  GLUL  NAA15  BRD2  TAF9  MAT2B  ERBB3  FBXW11  TRMU  DPH1  ALG5  PALLD  ADCK2  GMPPA  PHKG2  METTL17  ZNF598  MED12  HGS  TRRAP    C8orf44-SGK3  FAM98A  NAA16  LMO7  HDAC7"
5.61266225754816e-05,93,2119,1.67612755342817,"GO:0032553 Ribonucleotide binding ","https://amigo.geneontology.org/amigo/term/GO:0032553"," RAB35  RND3  RHOT1  TUBG1  KRAS  PRPSAP2  MRAS  CDK11A  HSPA5  SRP54  RAB5C  ACVR1  GNAI1  HACL1  DUS2  SLC19A1  SPHK1  CPS1  CTPS2  ERBB3  MAP2K4  CDK13  RPS6KA2  NSF  ACACB  TOP2B  DNM2  P2RX5  ITPKC  PSMC5  DNM1L  AURKA  AARS1  CDC6  CYB5R3  TRMU  DICER1  VRK1  CDK16  CSK  CLK4  NEK4  STK25  WARS2  PMS2  ACSL3  MOCS1  ABCC4  XRCC3  CHTF18  IFT22  DHX30  DAP3  ADCK2  NARS1  GLUL  SMARCAL1  MAP3K12  WARS1  IGF1R  ULK3  EFL1  HSPD1  DDX46  CAMK2G  PAK1  PANK1  PHKG2  BRAF  SMARCAD1  HIPK1  WRN  NOLC1  TK2  ARL13B  UGP2  NME6  DCAKD  GMPPB  CHEK2  NRBP2  TPK1  XRCC2  ZNG1C  RAB40C  CDC42BPB  MTOR  GK  SKIC2  NAXD  DDX3X  C8orf44-SGK3  "
4.55835867204074e-05,100,2296,1.66334826613572,"GO:0019899 Enzyme binding ","https://amigo.geneontology.org/amigo/term/GO:0019899"," MEF2C  WAC  RND3  MAGEA10  LYST  WWC2  CUL4B  UVSSA  GAPVD1  ALS2CL  PPP1R3E  DNM1L  VRK1  SPG11  NDRG1  CDK5RAP3  ELP4  DAB2IP  TOB1  ATF7  DZIP3  CDK13  NSF  XPO1  AURKA  CSK  TNPO2  CCNY  KAT2A  STAT1  IL1R1  SCARB2  ANK2  GSN  PHKG2  BRAF  RGS14  PPP1CA  P4HB  CDC42BPB  DMD  NFE2L2  KDM1A  PLAUR  WIZ  CEP68  MAT2B  HSPA5  HDAC7  CASP8  ERBB3  ATXN3  EVI5  GNB1  ITCH  PSEN1  HDAC6  CDC6  GPI  CASC3  TNS2  DROSHA  ACVR1  CCDC88A  ATF2  RCAN3  RBBP6  ACSL3  PRMT1  CDK5RAP2  LRPPRC  MAP3K12  WARS1  TOM1L1  WRAP53  SAE1  ADAMTSL4  HSPD1  STK11IP  GMPPA  PAK1  NDUFS2  NCSTN  AP1G1  STAT2  RNF34  DCTN2  SPHK1  LCORL  RAD23A  CHEK2  HGS  BAG6  N4BP2L2  TAF9  ERC1  PDLIM5  ADAM9  DNM2  NRG1"
