,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,minus_log10_padj,significant
ENST00000647138,6.163322124651,5.07392498433382,1.36507706614876,3.71695130638206,0.0002016412875431,0.0202958472835914,EMC9-219,1.692592813629402,True
ENST00000627384,8.93242937937024,6.59957303684103,1.51676997725138,4.35107045618114,1.35474507671531e-05,0.0018934815587007,SURF4-219,2.722738920273034,True
ENST00000640401,73.8512844751453,-0.971186024545502,0.26395025652968,-3.67942822755429,0.0002337574641936,0.0230207620559599,HBP1-253,1.637880304024194,True
ENST00000708048,9.6459700150392,2.87388135704611,0.739333685542678,3.88712351843762,0.0001014391433629,0.0110142605220477,FAHD2B-230,1.9580446552971167,True
ENST00000643032,10.2823378279055,-6.8008863044,1.61647628163675,-4.20722925641311,2.58520842928087e-05,0.0033827810200489,DGAT1-219,2.470726114793305,True
ENST00000710454,173.706573700231,6.56082713212061,1.72513033054858,3.80309070911431,0.000142902000791,0.0149049376853457,SLC52A2-252,1.8266698353285713,True
ENST00000356501,6.10608204342442,-6.06055764188844,1.49747778581654,-4.04717699273499,5.18390439068055e-05,0.0061247345793286,ADPRHL1-201,2.212912727082714,True
ENST00000375418,9.09984294477315,6.62694178931642,1.57316925475331,4.21247858060611,2.52583673128954e-05,0.0033133520705327,ADPRHL1-202,2.4797324143547588,True
ENST00000465762,115.075182364762,-10.292449437275,1.42016311734245,-7.24737131361027,4.24937858628069e-13,5.681247477793201e-10,NDFIP2-202,9.245556292240249,True
ENST00000634125,26.1226910646562,-8.15061309478093,1.70139246781649,-4.79055435412921,1.66321159568508e-06,0.0002986988108457,NAP1L4-300,3.5247665063686826,True
ENST00000710794,24.2876783553576,8.04207685908088,1.73675158661725,4.63052800472451,3.6473444597014e-06,0.0005952637057233,NEIL2-217,3.2252905963405976,True
ENST00000613280,230.616225794033,-11.2949787382372,1.52098726245034,-7.42608371357479,1.11860217049064e-13,2.2432888588480402e-10,DDX24-217,9.649114800546954,True
ENST00000558530,10.0359099867493,-6.77331387930886,1.3791495297941,-4.91122516665766,9.05090807809154e-07,0.0001733979461849,TGIF2-RAB5IF-201,3.760956050838166,True
ENST00000613680,689.433941200983,12.868560172148,1.29156453926831,9.96354404359713,2.20074642807993e-23,2.91288596474232e-18,TJP1-220,17.53567651703816,True
ENST00000696896,27.1792091608516,-8.20820353352018,1.99501365318983,-4.11435957864052,3.88255818307225e-05,0.0047881919255165,GINS1-225,2.3198284500529653,True
ENST00000326071,13.4118384780626,4.7568586210217,1.15573478102627,4.11587390040968,3.85715154690159e-05,0.0047623947910107,NOL4L-202,2.3221746054765755,True
ENST00000679564,18.3297451275939,1.625642900976,0.45519987440231,3.57127273620301,0.0003552507254352,0.0334904777549059,PPIL2-217,1.4750786570334569,True
ENST00000465261,21.6298052264268,-7.87804022828441,1.32365006215295,-5.95175451090944,2.65283082894125e-09,1.13266463125108e-06,LMO7-207,5.94589866061973,True
ENST00000927550,48.1268304640753,-9.03631944201993,1.26221565785149,-7.15909312787426,8.12125039278279e-13,9.42912790121349e-10,PRDM15-215,9.025528473244144,True
ENST00000713835,39.3656303983714,-8.7443918524612,1.89653727012358,-4.6107144796007,4.0128737852811e-06,0.0006469427056589,DSG2-228,3.189134179482729,True
ENST00000856883,7.42417890524217,6.3325209466972,1.68584785145872,3.75628259763644,0.0001724559479122,0.0176731429837073,DSG2-230,1.7526862088916602,True
ENST00000476998,15.0361210735723,-7.35109442890081,1.43841280417677,-5.11055964432128,3.21205882629877e-07,6.92418394446383e-05,ATXN10-208,4.15963140338987,True
ENST00000617382,29.5319684547364,8.32468357486001,1.51704369451148,5.48743823594397,4.07804534810749e-08,1.17299705097214e-05,TAF15-229,4.930703079741365,True
